#   lattice symmetry parameter b = 0.8639 
#   V1/V0 =  1.500 
#   Lattice depths =    35.000  15.000  15.000
# 
#    k            band1                band2            band3 ...
  -0.320    -9.0469109566e+00     6.5476131620e+00     1.1718415313e+01
  -0.300    -9.0552458949e+00     6.6784328152e+00     1.1558936257e+01
  -0.280    -9.0630580208e+00     6.8091739306e+00     1.1401399521e+01
  -0.260    -9.0703442927e+00     6.9396184613e+00     1.1246020138e+01
  -0.240    -9.0771018980e+00     7.0694900597e+00     1.1093071669e+01
  -0.220    -9.0833282498e+00     7.1984338028e+00     1.0942906473e+01
  -0.200    -9.0890209819e+00     7.3259875994e+00     1.0795984297e+01
  -0.180    -9.0941779462e+00     7.4515415600e+00     1.0652912903e+01
  -0.160    -9.0987972087e+00     7.5742800931e+00     1.0514505964e+01
  -0.140    -9.1028770468e+00     7.6930998869e+00     1.0381865088e+01
  -0.120    -9.1064159467e+00     7.8064963968e+00     1.0256493319e+01
  -0.100    -9.1094126012e+00     7.9124155590e+00     1.0140443424e+01
  -0.080    -9.1118659073e+00     8.0080851077e+00     1.0036486579e+01
  -0.060    -9.1137749651e+00     8.0898881730e+00     9.9482387602e+00
  -0.040    -9.1151390759e+00     8.1534363570e+00     9.8800876745e+00
  -0.020    -9.1159577415e+00     8.1940980619e+00     9.8366644257e+00
   0.000    -9.1162306632e+00     8.2081390904e+00     9.8217029155e+00
   0.020    -9.1159577415e+00     8.1940980619e+00     9.8366644257e+00
   0.040    -9.1151390759e+00     8.1534363570e+00     9.8800876745e+00
   0.060    -9.1137749651e+00     8.0898881730e+00     9.9482387602e+00
   0.080    -9.1118659073e+00     8.0080851077e+00     1.0036486579e+01
   0.100    -9.1094126012e+00     7.9124155590e+00     1.0140443424e+01
   0.120    -9.1064159467e+00     7.8064963968e+00     1.0256493319e+01
   0.140    -9.1028770468e+00     7.6930998869e+00     1.0381865088e+01
   0.160    -9.0987972087e+00     7.5742800931e+00     1.0514505964e+01
   0.180    -9.0941779462e+00     7.4515415600e+00     1.0652912903e+01
   0.200    -9.0890209819e+00     7.3259875994e+00     1.0795984297e+01
   0.220    -9.0833282498e+00     7.1984338028e+00     1.0942906473e+01
   0.240    -9.0771018980e+00     7.0694900597e+00     1.1093071669e+01
   0.260    -9.0703442927e+00     6.9396184613e+00     1.1246020138e+01
   0.280    -9.0630580208e+00     6.8091739306e+00     1.1401399521e+01
   0.300    -9.0552458949e+00     6.6784328152e+00     1.1558936257e+01
   0.320    -9.0469109566e+00     6.5476131620e+00     1.1718415313e+01
   0.340    -9.0380564821e+00     6.4168892416e+00     1.1879665664e+01
   0.360    -9.0286859864e+00     6.2864020707e+00     1.2042549780e+01
   0.380    -9.0188032292e+00     6.1562671247e+00     1.2206955908e+01
