#   lattice symmetry parameter b = 0.8639 
#   V1/V0 =  1.500 
#   Lattice depths =    35.000  15.000  15.000
# 
#    k            band1                band2            band3 ...
  -0.200    -6.0779564051e+01    -5.5861891121e+01    -3.8308450587e+01
  -0.190    -6.0779568130e+01    -5.5861874954e+01    -3.8309115522e+01
  -0.180    -6.0779572026e+01    -5.5861859517e+01    -3.8309750151e+01
  -0.170    -6.0779575733e+01    -5.5861844825e+01    -3.8310353884e+01
  -0.160    -6.0779579249e+01    -5.5861830894e+01    -3.8310926161e+01
  -0.150    -6.0779582569e+01    -5.5861817737e+01    -3.8311466452e+01
  -0.140    -6.0779585690e+01    -5.5861805367e+01    -3.8311974256e+01
  -0.130    -6.0779588610e+01    -5.5861793797e+01    -3.8312449103e+01
  -0.120    -6.0779591325e+01    -5.5861783036e+01    -3.8312890555e+01
  -0.110    -6.0779593833e+01    -5.5861773098e+01    -3.8313298204e+01
  -0.100    -6.0779596131e+01    -5.5861763990e+01    -3.8313671673e+01
  -0.090    -6.0779598218e+01    -5.5861755722e+01    -3.8314010619e+01
  -0.080    -6.0779600090e+01    -5.5861748302e+01    -3.8314314729e+01
  -0.070    -6.0779601746e+01    -5.5861741738e+01    -3.8314583723e+01
  -0.060    -6.0779603185e+01    -5.5861736036e+01    -3.8314817354e+01
  -0.050    -6.0779604405e+01    -5.5861731202e+01    -3.8315015406e+01
  -0.040    -6.0779605404e+01    -5.5861727240e+01    -3.8315177697e+01
  -0.030    -6.0779606183e+01    -5.5861724155e+01    -3.8315304079e+01
  -0.020    -6.0779606740e+01    -5.5861721949e+01    -3.8315394434e+01
  -0.010    -6.0779607074e+01    -5.5861720624e+01    -3.8315448681e+01
   0.000    -6.0779607185e+01    -5.5861720182e+01    -3.8315466768e+01
   0.010    -6.0779607074e+01    -5.5861720624e+01    -3.8315448681e+01
   0.020    -6.0779606740e+01    -5.5861721949e+01    -3.8315394434e+01
   0.030    -6.0779606183e+01    -5.5861724155e+01    -3.8315304079e+01
   0.040    -6.0779605404e+01    -5.5861727240e+01    -3.8315177697e+01
   0.050    -6.0779604405e+01    -5.5861731202e+01    -3.8315015406e+01
   0.060    -6.0779603185e+01    -5.5861736036e+01    -3.8314817354e+01
   0.070    -6.0779601746e+01    -5.5861741738e+01    -3.8314583723e+01
   0.080    -6.0779600090e+01    -5.5861748302e+01    -3.8314314729e+01
   0.090    -6.0779598218e+01    -5.5861755722e+01    -3.8314010619e+01
   0.100    -6.0779596131e+01    -5.5861763990e+01    -3.8313671673e+01
   0.110    -6.0779593833e+01    -5.5861773098e+01    -3.8313298204e+01
   0.120    -6.0779591325e+01    -5.5861783036e+01    -3.8312890555e+01
   0.130    -6.0779588610e+01    -5.5861793797e+01    -3.8312449103e+01
   0.140    -6.0779585690e+01    -5.5861805367e+01    -3.8311974256e+01
   0.150    -6.0779582569e+01    -5.5861817737e+01    -3.8311466452e+01
   0.160    -6.0779579249e+01    -5.5861830894e+01    -3.8310926161e+01
   0.170    -6.0779575733e+01    -5.5861844825e+01    -3.8310353884e+01
   0.180    -6.0779572026e+01    -5.5861859517e+01    -3.8309750151e+01
   0.190    -6.0779568130e+01    -5.5861874954e+01    -3.8309115522e+01
   0.200    -6.0779564051e+01    -5.5861891121e+01    -3.8308450587e+01
   0.210    -6.0779559790e+01    -5.5861908003e+01    -3.8307755965e+01
   0.220    -6.0779555354e+01    -5.5861925583e+01    -3.8307032302e+01
   0.230    -6.0779550746e+01    -5.5861943844e+01    -3.8306280274e+01
   0.240    -6.0779545970e+01    -5.5861962767e+01    -3.8305500582e+01
   0.250    -6.0779541033e+01    -5.5861982334e+01    -3.8304693957e+01
   0.260    -6.0779535937e+01    -5.5862002525e+01    -3.8303861153e+01
   0.270    -6.0779530689e+01    -5.5862023321e+01    -3.8303002952e+01
   0.280    -6.0779525293e+01    -5.5862044701e+01    -3.8302120161e+01
   0.290    -6.0779519756e+01    -5.5862066644e+01    -3.8301213610e+01
   0.300    -6.0779514082e+01    -5.5862089128e+01    -3.8300284155e+01
   0.310    -6.0779508276e+01    -5.5862112131e+01    -3.8299332672e+01
   0.320    -6.0779502345e+01    -5.5862135630e+01    -3.8298360062e+01
   0.330    -6.0779496295e+01    -5.5862159603e+01    -3.8297367248e+01
   0.340    -6.0779490132e+01    -5.5862184025e+01    -3.8296355171e+01
   0.350    -6.0779483861e+01    -5.5862208873e+01    -3.8295324795e+01
   0.360    -6.0779477488e+01    -5.5862234121e+01    -3.8294277101e+01
   0.370    -6.0779471021e+01    -5.5862259746e+01    -3.8293213092e+01
   0.380    -6.0779464465e+01    -5.5862285721e+01    -3.8292133785e+01
   0.390    -6.0779457827e+01    -5.5862312021e+01    -3.8291040214e+01
   0.400    -6.0779451114e+01    -5.5862338620e+01    -3.8289933432e+01
   0.410    -6.0779444331e+01    -5.5862365492e+01    -3.8288814503e+01
   0.420    -6.0779437486e+01    -5.5862392610e+01    -3.8287684508e+01
   0.430    -6.0779430586e+01    -5.5862419948e+01    -3.8286544539e+01
   0.440    -6.0779423637e+01    -5.5862447478e+01    -3.8285395701e+01
   0.450    -6.0779416647e+01    -5.5862475173e+01    -3.8284239111e+01
   0.460    -6.0779409621e+01    -5.5862503007e+01    -3.8283075893e+01
   0.470    -6.0779402568e+01    -5.5862530951e+01    -3.8281907184e+01
   0.480    -6.0779395493e+01    -5.5862558978e+01    -3.8280734125e+01
   0.490    -6.0779388404e+01    -5.5862587061e+01    -3.8279557865e+01
   0.500    -6.0779381309e+01    -5.5862615171e+01    -3.8278379561e+01
   0.510    -6.0779374213e+01    -5.5862643280e+01    -3.8277200373e+01
   0.520    -6.0779367124e+01    -5.5862671362e+01    -3.8276021462e+01
   0.530    -6.0779360049e+01    -5.5862699389e+01    -3.8274843996e+01
   0.540    -6.0779352996e+01    -5.5862727332e+01    -3.8273669141e+01
   0.550    -6.0779345970e+01    -5.5862755164e+01    -3.8272498064e+01
   0.560    -6.0779338978e+01    -5.5862782858e+01    -3.8271331931e+01
   0.570    -6.0779332029e+01    -5.5862810387e+01    -3.8270171905e+01
   0.580    -6.0779325128e+01    -5.5862837722e+01    -3.8269019146e+01
   0.590    -6.0779318283e+01    -5.5862864838e+01    -3.8267874810e+01
   0.600    -6.0779311499e+01    -5.5862891707e+01    -3.8266740045e+01
   0.610    -6.0779304785e+01    -5.5862918304e+01    -3.8265615995e+01
